	year	month	decimal_date	average	interpolated
0	1958	3	1958.208	315.71	315.71
1	1958	4	1958.292	317.45	317.45
2	1958	5	1958.375	317.5	317.5
3	1958	6	1958.458	-99.99	317.1
4	1958	7	1958.542	315.86	315.86
5	1958	8	1958.625	314.93	314.93
6	1958	9	1958.708	313.2	313.2
7	1958	10	1958.792	-99.99	312.66
8	1958	11	1958.875	313.33	313.33
9	1958	12	1958.958	314.67	314.67
10	1959	1	1959.042	315.62	315.62
11	1959	2	1959.125	316.38	316.38
12	1959	3	1959.208	316.71	316.71
13	1959	4	1959.292	317.72	317.72
14	1959	5	1959.375	318.29	318.29
15	1959	6	1959.458	318.15	318.15
16	1959	7	1959.542	316.54	316.54
17	1959	8	1959.625	314.8	314.8
18	1959	9	1959.708	313.84	313.84
19	1959	10	1959.792	313.26	313.26
20	1959	11	1959.875	314.8	314.8
21	1959	12	1959.958	315.58	315.58
22	1960	1	1960.042	316.43	316.43
23	1960	2	1960.125	316.97	316.97
24	1960	3	1960.208	317.58	317.58
25	1960	4	1960.292	319.02	319.02
26	1960	5	1960.375	320.03	320.03
27	1960	6	1960.458	319.59	319.59
28	1960	7	1960.542	318.18	318.18
29	1960	8	1960.625	315.91	315.91
30	1960	9	1960.708	314.16	314.16
31	1960	10	1960.792	313.83	313.83
32	1960	11	1960.875	315.0	315.0
33	1960	12	1960.958	316.19	316.19
34	1961	1	1961.042	316.93	316.93
35	1961	2	1961.125	317.7	317.7
36	1961	3	1961.208	318.54	318.54
37	1961	4	1961.292	319.48	319.48
38	1961	5	1961.375	320.58	320.58
39	1961	6	1961.458	319.77	319.77
40	1961	7	1961.542	318.57	318.57
41	1961	8	1961.625	316.79	316.79
42	1961	9	1961.708	314.8	314.8
43	1961	10	1961.792	315.38	315.38
44	1961	11	1961.875	316.1	316.1
45	1961	12	1961.958	317.01	317.01
46	1962	1	1962.042	317.94	317.94
47	1962	2	1962.125	318.56	318.56
48	1962	3	1962.208	319.68	319.68
49	1962	4	1962.292	320.63	320.63
50	1962	5	1962.375	321.01	321.01
51	1962	6	1962.458	320.55	320.55
52	1962	7	1962.542	319.58	319.58
53	1962	8	1962.625	317.4	317.4
54	1962	9	1962.708	316.26	316.26
55	1962	10	1962.792	315.42	315.42
56	1962	11	1962.875	316.69	316.69
57	1962	12	1962.958	317.69	317.69
58	1963	1	1963.042	318.74	318.74
59	1963	2	1963.125	319.08	319.08
60	1963	3	1963.208	319.86	319.86
61	1963	4	1963.292	321.39	321.39
62	1963	5	1963.375	322.25	322.25
63	1963	6	1963.458	321.47	321.47
64	1963	7	1963.542	319.74	319.74
65	1963	8	1963.625	317.77	317.77
66	1963	9	1963.708	316.21	316.21
67	1963	10	1963.792	315.99	315.99
68	1963	11	1963.875	317.12	317.12
69	1963	12	1963.958	318.31	318.31
70	1964	1	1964.042	319.57	319.57
71	1964	2	1964.125	-99.99	320.07
72	1964	3	1964.208	-99.99	320.73
73	1964	4	1964.292	-99.99	321.77
74	1964	5	1964.375	322.25	322.25
75	1964	6	1964.458	321.89	321.89
76	1964	7	1964.542	320.44	320.44
77	1964	8	1964.625	318.7	318.7
78	1964	9	1964.708	316.7	316.7
79	1964	10	1964.792	316.79	316.79
80	1964	11	1964.875	317.79	317.79
81	1964	12	1964.958	318.71	318.71
82	1965	1	1965.042	319.44	319.44
83	1965	2	1965.125	320.44	320.44
84	1965	3	1965.208	320.89	320.89
85	1965	4	1965.292	322.13	322.13
86	1965	5	1965.375	322.16	322.16
87	1965	6	1965.458	321.87	321.87
88	1965	7	1965.542	321.39	321.39
89	1965	8	1965.625	318.81	318.81
90	1965	9	1965.708	317.81	317.81
91	1965	10	1965.792	317.3	317.3
92	1965	11	1965.875	318.87	318.87
93	1965	12	1965.958	319.42	319.42
94	1966	1	1966.042	320.62	320.62
95	1966	2	1966.125	321.59	321.59
96	1966	3	1966.208	322.39	322.39
97	1966	4	1966.292	323.87	323.87
98	1966	5	1966.375	324.01	324.01
99	1966	6	1966.458	323.75	323.75
100	1966	7	1966.542	322.39	322.39
101	1966	8	1966.625	320.37	320.37
102	1966	9	1966.708	318.64	318.64
103	1966	10	1966.792	318.1	318.1
104	1966	11	1966.875	319.79	319.79
105	1966	12	1966.958	321.08	321.08
106	1967	1	1967.042	322.07	322.07
107	1967	2	1967.125	322.5	322.5
108	1967	3	1967.208	323.04	323.04
109	1967	4	1967.292	324.42	324.42
110	1967	5	1967.375	325.0	325.0
111	1967	6	1967.458	324.09	324.09
112	1967	7	1967.542	322.55	322.55
113	1967	8	1967.625	320.92	320.92
114	1967	9	1967.708	319.31	319.31
115	1967	10	1967.792	319.31	319.31
116	1967	11	1967.875	320.72	320.72
117	1967	12	1967.958	321.96	321.96
118	1968	1	1968.042	322.57	322.57
119	1968	2	1968.125	323.15	323.15
120	1968	3	1968.208	323.89	323.89
121	1968	4	1968.292	325.02	325.02
122	1968	5	1968.375	325.57	325.57
123	1968	6	1968.458	325.36	325.36
124	1968	7	1968.542	324.14	324.14
125	1968	8	1968.625	322.03	322.03
126	1968	9	1968.708	320.41	320.41
127	1968	10	1968.792	320.25	320.25
128	1968	11	1968.875	321.31	321.31
129	1968	12	1968.958	322.84	322.84
130	1969	1	1969.042	324.0	324.0
131	1969	2	1969.125	324.42	324.42
132	1969	3	1969.208	325.64	325.64
133	1969	4	1969.292	326.66	326.66
134	1969	5	1969.375	327.34	327.34
135	1969	6	1969.458	326.76	326.76
136	1969	7	1969.542	325.88	325.88
137	1969	8	1969.625	323.67	323.67
138	1969	9	1969.708	322.38	322.38
139	1969	10	1969.792	321.78	321.78
140	1969	11	1969.875	322.85	322.85
141	1969	12	1969.958	324.11	324.11
142	1970	1	1970.042	325.03	325.03
143	1970	2	1970.125	325.99	325.99
144	1970	3	1970.208	326.87	326.87
