iter	Logloss
0	0.6857954547
1	0.6784070719
2	0.6711230064
3	0.6636087607
4	0.6571350263
5	0.6498979083
6	0.6433439255
7	0.6359268824
8	0.6290287706
9	0.6223317546
10	0.6162752208
11	0.6095317436
12	0.6032450826
13	0.5976625976
14	0.5900096931
15	0.5846432365
16	0.5784028437
17	0.5728126135
18	0.5672608311
19	0.5626597032
20	0.5571885093
21	0.5515900941
22	0.5466534842
23	0.5418130509
24	0.5365929435
25	0.5315581132
26	0.526888784
27	0.5223366598
28	0.5176265328
29	0.5127205211
30	0.5085594058
31	0.5040053455
32	0.5001697307
33	0.4960768628
34	0.4918847782
35	0.4874300205
36	0.4833844461
37	0.4794406025
38	0.4755108823
39	0.4715090807
40	0.4683279851
41	0.4643715211
42	0.4610689917
43	0.4579214622
44	0.454444572
45	0.4508865296
46	0.447261896
47	0.4443842609
48	0.4415573033
49	0.4382203253
50	0.4354220326
51	0.4327914285
52	0.4294485613
53	0.4266120416
54	0.423724776
55	0.4208828162
56	0.4184246003
57	0.4160060346
58	0.413306962
59	0.4108611508
60	0.4087026774
61	0.4063712414
62	0.403754926
63	0.4019609527
64	0.3995261724
65	0.3974769589
66	0.3959323223
67	0.3936210375
68	0.3913141448
69	0.3893636177
70	0.3871839582
71	0.3852950955
72	0.3834918209
73	0.3815789891
74	0.3793614613
75	0.3773442569
76	0.3760962266
77	0.3738216213
78	0.3719349463
79	0.3700874626
80	0.3682139635
81	0.3663476374
82	0.3652499761
83	0.3629688343
84	0.3608159137
85	0.3594203582
86	0.3575825209
87	0.3558772583
88	0.3541299995
89	0.352524549
90	0.3508052677
91	0.3492404572
92	0.3474750265
93	0.3465942327
94	0.3453369495
95	0.3438164779
96	0.3420974751
97	0.3408137964
98	0.339402855
99	0.3376970442
100	0.3362343748
101	0.3349290837
102	0.3336777932
103	0.3320588479
104	0.3304365486
105	0.329236642
106	0.3281020556
107	0.3266377471
108	0.3255617623
109	0.3241993272
110	0.3232158568
111	0.3219826744
112	0.3211253921
113	0.3200001031
114	0.3187546072
115	0.3175543325
116	0.3163965734
117	0.3150925128
118	0.3139615245
119	0.3125014295
120	0.3109894735
121	0.3099231747
122	0.309054675
123	0.3085837329
124	0.3080381468
125	0.3069631412
126	0.3058865821
127	0.3046278606
128	0.3037687183
129	0.3028937827
