iter	Passed	Remaining
0	1	1771
1	3	1743
2	4	1594
3	6	1567
4	7	1419
5	8	1385
6	9	1365
7	10	1343
8	11	1307
9	12	1276
10	13	1248
11	14	1227
12	15	1191
13	16	1162
14	17	1141
15	18	1123
16	19	1106
17	19	1090
18	20	1078
19	21	1066
20	22	1055
21	23	1042
22	24	1032
23	25	1020
24	25	1013
25	26	998
26	27	995
27	28	986
28	29	984
29	30	981
30	31	976
31	32	973
32	32	958
33	33	955
34	34	951
35	35	949
36	36	945
37	37	942
38	38	937
39	38	933
40	39	930
41	40	928
42	41	918
43	42	916
44	43	914
45	43	911
46	44	908
47	45	906
48	46	904
49	47	902
50	48	901
51	49	899
52	50	897
53	51	895
54	51	893
55	52	891
56	53	889
57	54	887
58	55	887
59	56	886
60	57	885
61	58	882
62	59	886
63	60	883
64	61	885
65	62	879
66	62	871
67	63	870
68	64	868
69	65	866
70	66	867
71	67	867
72	68	864
73	69	866
74	70	867
75	71	869
76	72	864
77	73	871
78	75	881
79	76	881
80	77	880
81	78	879
82	78	872
83	80	872
84	81	876
85	82	881
86	84	881
87	84	878
88	85	876
89	86	876
90	87	875
91	88	874
92	89	872
93	90	871
94	91	870
95	92	867
96	93	865
97	93	864
98	94	862
99	95	861
100	96	862
101	98	866
102	99	866
103	100	865
104	101	864
105	102	864
106	103	864
107	104	862
108	105	859
109	105	857
110	106	855
111	107	852
112	108	850
113	109	848
114	110	846
115	110	844
116	111	842
117	112	841
118	113	840
119	114	839
120	115	837
121	116	835
122	117	834
123	117	829
124	118	826
125	118	824
126	119	822
127	120	822
128	121	821
129	122	819
130	123	817
131	124	815
132	124	813
133	125	811
134	126	810
135	128	817
136	129	815
137	130	814
138	132	820
139	133	818
140	134	817
141	135	817
142	136	815
143	136	813
144	137	811
145	138	810
146	139	808
147	140	806
148	141	805
149	141	803
150	142	801
151	143	800
152	144	799
153	145	797
154	146	796
155	146	794
156	147	793
157	148	791
158	149	790
159	150	788
160	151	787
161	152	786
162	152	785
163	153	784
164	154	782
165	155	781
166	156	780
167	157	778
168	158	777
169	158	775
170	159	774
171	160	772
172	161	771
173	162	769
174	162	768
175	163	766
176	164	765
177	165	765
178	166	763
179	167	762
180	168	760
181	168	759
182	169	757
183	170	756
184	171	754
185	172	753
186	172	751
187	173	750
188	174	749
189	175	747
190	177	752
191	178	751
192	179	750
193	180	749
194	181	747
195	181	746
196	182	744
197	183	743
198	184	741
199	185	740
200	185	738
201	186	737
202	187	736
203	188	736
204	189	735
205	190	734
206	191	733
207	192	732
208	193	731
209	194	730
210	195	731
211	196	731
212	197	729
213	198	728
214	199	727
215	200	725
216	200	724
217	201	723
218	202	722
219	203	720
220	204	719
221	204	718
222	205	716
223	206	715
224	207	713
225	208	712
226	208	711
227	209	709
228	210	708
229	211	707
230	212	706
231	212	705
232	213	704
233	214	703
234	215	701
235	216	700
236	217	699
237	218	698
238	219	697
239	219	696
240	220	695
241	221	694
242	222	693
243	223	692
244	224	691
245	225	690
246	226	689
247	227	688
248	228	688
249	229	689
250	231	689
251	232	689
252	233	688
253	233	686
254	234	685
255	235	684
256	236	683
257	237	682
258	238	681
259	239	680
260	240	679
261	241	679
262	242	678
263	243	678
264	244	677
